SYSCALL(args) 		 = return
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigreturn(0x7FFF52D01860, 0x1E, 0x0)		 = 0 Err#-2
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigreturn(0x7FFF52D01818, 0x1E, 0x0)		 = 0 Err#-2
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigreturn(0x7FFF52D01860, 0x1E, 0x0)		 = 0 Err#-2
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
sigprocmask(0x1, 0x10D3AFB88, 0x10D3AFB84)		 = 0x0 0
getrusage(0x0, 0x7FFF52D057A0, 0x10D3AFB84)		 = 0 0
sigprocmask(0x3, 0x10D3AFB84, 0x0)		 = 0x0 0
